Placed Component Report
D:/projects/pcb_brd/ds33m30-m33/DK/ds33m30dk02a0/cadence/worklib/_rc_top_dn_/physical/ds33m30dk02a0.brd
Tue Mar 11 10:12:16 2008
Total Placed Components:  281
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C01,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,14104.00,11351.00,270.000,NO
C1,CAP1_SMT1206_20PCT-10UF,ECJ-3YA,,,SMDCAP1206_IPC,11631.00,5681.00,0.000,YES
C02,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13619.00,11311.00,0.000,NO
C03,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,10420.00,11190.00,0.000,NO
C04,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,14425.00,11196.00,90.000,NO
C05,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,10510.00,10890.00,0.000,NO
C06,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,10404.00,10618.00,0.000,NO
C07,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12520.00,10550.00,0.000,NO
C08,CAP1_0L_SMT0603_LC-.01UF,06035A,,,SMDCAP603LC_IPC,10510.00,10310.00,0.000,NO
C09,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,12600.00,10250.00,0.000,NO
C10,CAP1_0L_SMT0603_LC-.01UF,06035A,,,SMDCAP603LC_IPC,10240.00,9810.00,90.000,NO
C11,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,11360.00,9230.00,270.000,NO
C12,CAP1_0L_SMT0603_LC-.01UF,06035A,,,SMDCAP603LC_IPC,11618.00,9248.00,0.000,NO
C13,CAP1_SMT1206_20PCT-10UF,ECJ-3YA,,,SMDCAP1206_IPC,14260.00,6890.00,180.000,NO
C14,CAP1_SMT1206_20PCT-10UF,ECJ-3YA,,,SMDCAP1206_IPC,14140.00,6750.00,0.000,NO
C15,CAP1_SMT1206_20PCT-10UF,ECJ-3YA,,,SMDCAP1206_IPC,14260.00,6640.00,180.000,NO
C16,CAP1_SMT1206_20PCT-10UF,ECJ-3YA,,,SMDCAP1206_IPC,14140.00,6510.00,0.000,NO
C17,CAP1_SMT1206_20PCT-10UF,ECJ-3YA,,,SMDCAP1206_IPC,14260.00,6390.00,180.000,NO
C18,CAP1_SMT1206_20PCT-10UF,ECJ-3YA,,,SMDCAP1206_IPC,14140.00,6270.00,0.000,NO
CB01,POLCAP_SMT_DCASE-470UF,T491D47A,,,SMDCAP7343MM,14116.00,11566.00,180.000,YES
CB02,POLCAP_SMT_DCASE-470UF,T491D47A,,,SMDCAP7343MM,13701.00,11566.00,180.000,YES
CB03,POLCAP_SMT_DCASE-470UF,T491D47A,,,SMDCAP7343MM,13487.00,11317.00,0.000,YES
CB04,CAP1_0L_SMT0603_LC-.01UF,06035A,,,SMDCAP603LC_IPC,13160.00,11300.00,0.000,YES
CB05,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13891.76,11305.50,270.000,YES
CB06,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,13795.76,11303.50,270.000,YES
CB07,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,14253.76,11255.50,270.000,YES
CB08,CAP1_0L_SMT0603_10PCT-.01UF,06A,,,SMDCAP603_IPC,13181.00,11167.00,0.000,YES
CB09,CAP1_0L_SMT0603_10PCT-.01UF,06A,,,SMDCAP603_IPC,13517.00,11147.00,0.000,YES
CB10,CAP1_0L_SMT0603_10PCT-.01UF,06A,,,SMDCAP603_IPC,13354.00,11147.00,0.000,YES
CB11,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,13770.00,11110.00,0.000,YES
CB12,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,12360.00,10970.00,0.000,YES
CB13,POLCAP_SMT_DCASE-470UF,T491D47A,,,SMDCAP7343MM,14389.00,10951.00,180.000,YES
CB14,CAP1_0L_SMT0603_LC-.01UF,06035A,,,SMDCAP603LC_IPC,12390.00,10780.00,0.000,YES
CB15,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,11750.00,10810.00,270.000,YES
CB16,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,14280.00,10770.00,0.000,YES
CB17,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,14450.00,10687.00,90.000,YES
CB18,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11789.00,10680.00,180.000,YES
CB19,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,11790.00,10550.00,180.000,YES
CB20,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,11601.40,10042.40,0.000,YES
CB21,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11390.00,10372.00,270.000,YES
CB22,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11310.00,10370.00,270.000,YES
CB23,CAP1_0L_SMT1206_20PCT-10UF,ECJA,,,SMDCAP1206_IPC,13217.76,10332.50,270.000,YES
CB24,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,12110.00,10260.00,0.000,YES
CB25,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,10640.00,10100.00,0.000,YES
CB26,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,10874.00,10129.00,270.000,YES
CB27,CAP1_0L_SMT1206_20PCT-10UF,ECJA,,,SMDCAP1206_IPC,11024.00,10094.00,180.000,YES
CB28,CAP1_0L_SMT1206_20PCT-10UF,ECJA,,,SMDCAP1206_IPC,10363.00,10090.00,180.000,YES
CB29,CAP1_0L_SMT1206_20PCT-10UF,ECJA,,,SMDCAP1206_IPC,11771.00,10141.00,270.000,YES
CB30,CAP1_0L_SMT0603_LC-.01UF,06035A,,,SMDCAP603LC_IPC,10299.00,9978.00,180.000,YES
CB31,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11730.00,9960.00,0.000,YES
CB32,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,10674.00,9926.00,180.000,YES
CB33,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12421.00,9916.00,180.000,YES
CB34,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,11344.00,9937.00,270.000,YES
CB35,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11262.00,9937.00,270.000,YES
CB36,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,11506.00,9914.00,270.000,YES
CB37,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,11425.00,9914.00,270.000,YES
CB38,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11181.00,9911.00,270.000,YES
CB39,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,13850.00,9910.00,270.000,YES
CB40,CAP1_0L_SMT0603_LC-.01UF,06035A,,,SMDCAP603LC_IPC,10240.00,9810.00,90.000,YES
CB41,CAP1_0L_SMT1206_20PCT-10UF,ECJA,,,SMDCAP1206_IPC,11780.00,9836.00,180.000,YES
CB42,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13674.00,9814.00,270.000,YES
CB43,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,10780.00,9740.00,90.000,YES
CB44,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,11790.00,9710.00,0.000,YES
CB45,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,13006.00,9670.00,90.000,YES
CB46,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,10694.00,9735.00,270.000,YES
CB47,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12836.00,9665.00,90.000,YES
CB48,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,12750.00,9660.00,90.000,YES
CB49,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13346.00,9654.00,90.000,YES
CB50,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13266.00,9651.00,90.000,YES
CB51,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13186.00,9649.00,90.000,YES
CB52,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,11631.00,9683.00,180.000,YES
CB53,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13106.00,9646.00,90.000,YES
CB54,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,11012.00,9674.00,0.000,YES
CB55,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12924.00,9668.00,270.000,YES
CB56,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,10277.00,9629.00,180.000,YES
CB57,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,10737.00,9603.00,0.000,YES
CB58,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,11796.50,9602.24,180.000,YES
CB59,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,11021.00,9548.00,0.000,YES
CB60,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,10277.00,9540.00,180.000,YES
CB61,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13317.00,9524.00,0.000,YES
CB62,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12780.00,9520.00,180.000,YES
CB63,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,10734.60,9525.80,0.000,YES
CB64,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11021.00,9468.00,0.000,YES
CB65,CAP1_0L_SMT0603_10PCT-.01UF,06A,,,SMDCAP603_IPC,10284.00,9448.00,0.000,YES
CB66,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,12782.00,9436.00,180.000,YES
CB67,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11629.00,9435.00,180.000,YES
CB68,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13313.00,9434.00,0.000,YES
CB69,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,10747.00,9368.00,0.000,YES
CB70,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11626.50,9353.24,180.000,YES
CB71,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,13096.00,9313.00,90.000,YES
CB72,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,10285.00,9299.00,0.000,YES
CB73,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12754.00,9320.00,270.000,YES
CB74,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,12994.00,9317.00,270.000,YES
CB75,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,12834.00,9314.00,270.000,YES
CB76,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13264.00,9313.00,270.000,YES
CB77,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12914.00,9312.00,270.000,YES
CB78,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13686.00,9243.00,90.000,YES
CB79,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13184.00,9310.00,270.000,YES
CB80,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13344.00,9307.00,270.000,YES
CB81,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11364.24,9228.50,90.000,YES
CB82,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,11446.00,9228.00,90.000,YES
CB83,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11281.00,9228.00,90.000,YES
CB84,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,11201.00,9228.00,90.000,YES
CB85,CAP1_0L_SMT0603_LC-.01UF,06035A,,,SMDCAP603LC_IPC,10743.00,9227.00,0.000,YES
CB86,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,10284.00,9190.00,180.000,YES
CB87,CAP1_0L_SMT1206_20PCT-10UF,ECJA,,,SMDCAP1206_IPC,10767.00,9067.00,90.000,YES
CB88,CAP1_0L_SMT0603_20PCT-.1UF,060A,,,SMDCAP603_IPC,13400.00,9020.00,90.000,YES
CB89,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12711.00,9014.00,0.000,YES
CB90,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,12440.00,8970.00,180.000,YES
CB91,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,13740.00,7530.00,0.000,YES
CB92,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,13200.00,6990.00,0.000,YES
CB93,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,12110.00,6990.00,0.000,YES
CB94,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13950.00,6910.00,0.000,YES
CB95,CAP1_0L_SMT0603_HC-4.7UF,ECJ-1A,,,SMDCAP603HC_IPC,13770.00,6910.00,0.000,YES
CB96,CAP1_SMT0603_10PCT-.1UF,ECJ-1VA,,,SMDCAP603_IPC,12110.00,6900.00,0.000,YES
